,Star_name,Distance,Mass,Radius
242,2MASSI J0727182+171001 [de],29.6,0.00089731272,205.73152599999997
243,2MASS J07290002-3954043 [de],25.8,0.00089731272,206.245341
244,SDSS J074201.41+205520.5 [de],49,0.00089731272,205.937052
246,DENIS-P J0751164-253043 [de],55,0.0009832256400000002,206.34810399999998
248,DENIS J081730.0-615520,16.1,0.00089731272,206.55363
251,2MASS J08251968+2115521 [de],35,0.00093549624,205.52599999999998
252,SDSSp J083008.12+482847.4 [de],43,0.0009450421200000001,205.73152599999997
254,SDSS J083048.80+012831.1 [de],77,0.00091640448,205.937052
255,2MASSI J0835425-081923 [de],23.53,0.000954588,205.83428899999998
256,2MASSI J0847287-153237 [de],43,0.000954588,205.83428899999998
258,2MASSI J0859254-194926 [de],50,0.00093549624,205.83428899999998
260,2MASSI J0937347+293142,20,0.00089731272,205.73152599999997
261,2MASS 0939−2448,17.4,0.0009068586,206.03981499999998
262,2MASS J09490860-1545485 [de],59,0.00091640448,206.03981499999998
264,2MASSI J1010148-040649 [de],55,0.00093549624,205.83428899999998
267,2MASS J10224821+5825453 [de],60,0.00134596908,206.34810399999998
268,2MASSW J1036530-344138 [de],53,0.00092595036,205.73152599999997
269,2MASS J1047538+212423 [de],34.4,0.00089731272,205.423237
270,DEN 1048-3956,13.15,0.00102140916,205.52599999999998
271,Luhman 16B,6.516,0.0009736797600000001,206.861919
272,Luhman 16A,6.516,0.00096413388,206.861919
273,DENIS-P J1058.7−1548,49,0.000954588,205.21771099999998
275,Cha 110913-773444,163,0.0017182584,206.03981499999998
278,2MASS J11145133−2618235,18.2,0.00091640448,206.03981499999998
281,2MASS J11544223-3400390 [de],129,0.001431882,205.83428899999998
282,2MASSW J1155395-372735 [de],31,0.000954588,205.73152599999997
286,2MASSI J1217110-031113 [de],36,0.00089731272,205.423237
289,2M 1237+6526,45.6,0.00089731272,205.83428899999998
292,SDSSp J125453.90-012247.4 [de],38,0.00093549624,205.52599999999998
293,Kelu-1A,61,0.00093549624,205.21771099999998
294,Kelu-1B,61,0.00093549624,205.21771099999998
296,SDSSp J132629.82-003831.5 [de],65,0.00092595036,205.52599999999998
297,SDSSp J134646.45-003150.4 [de],48,0.00089731272,205.52599999999998
300,SDSS J141659.78+500626.4 [de],149,0.0009450421200000001,206.142578
301,DENIS-P J142527.97-365023.4 [de],38,0.00126005616,205.937052
305,2MASS J14482563+1031590 [de],47,0.0009450421200000001,205.83428899999998
306,CFBDSIR 1458+10A,104,0.001431882,206.55363
307,CFBDSIR 1458+10B,104,0.0012409644000000001,206.55363
309,2MASS 1503+2525,20.7,0.00089731272,205.83428899999998
311,2MASSW J1506544+132106 [de],46,0.0009736797600000001,205.52599999999998
312,2MASS 1507−1627,23.9,0.0009450421200000001,205.52599999999998
315,2MASSW J1515008+484742 [de],34,0.0009450421200000001,205.83428899999998
316,2MASSI J1526140+204341 [de],67,0.00093549624,205.52599999999998
317,DENIS-P J153941.96-052042.4 [de],51,0.000954588,205.937052
318,2MASS J15462718-3325111 [de],37,0.00089731272,205.73152599999997
319,2MASSW J1552591+294849 [de],68,0.00136506084,205.83428899999998
320,2MASSW J1555157-095605 [de],44,0.0009832256400000002,205.73152599999997
321,2MASS J16150413+1340079 [de],48,0.00089731272,206.245341
322,SDSSp J162414.37+002915.6 [de],36,0.00089731272,205.423237
323,2MASS J16262034+3925190 [de],110,0.0009832256400000002,205.937052
324,2MASSW J1632291+190441 [de],50,0.00092595036,205.423237
326,LSPM J1658+7027 [de],60,0.00099277152,205.52599999999998
331,LSR J1835+3259,18.5,0.00102140916,205.83428899999998
339,PSO J318.5−22,80,0.00146051964,206.861919
347,2MASS J22282889-4310262,35,0.00089731272,206.861919
391,WISE 0410+1502,20,0.00111686796,206.55363
395,WISE 0458+6434A,35.9,0.0040092696,206.55363
396,WISE 0458+6434B,35.9,0.0036274344,206.55363
450,WISE 1405+5534,25.3,0.00082094568,206.55363
